slug;id;name;ico;fuzzy;explanation;parent
uni_silesia;0104rcc94;University of Silesia in Katowice;;0;;
uni_toronto;03dbr7087;University of Toronto;;0;;
uochb_cas;04nfjn472;Ústav organické chemie a biochemie AV ČR;61388963;0;;
upce;01chzd453;Univerzita Pardubice;216275;0;;
upol;04qxnmv42;Univerzita Palackého v Olomouci;61989592;0;;
upol.lekarska_fakulta_1;orjk:15110;Lékařská fakulta / Univerzita Palackého v Olomouci;;;;04qxnmv42
upol.lekarska_fakulta_1.ustav_molekularni_a_translacni_mediciny;orjk:15110:0001;Ústav molekulární a translační medicíny / Lékařská fakulta / Univerzita Palackého v Olomouci;;;;orjk:15110
upol.pedagogicka_fakulta_4;orjk:15410;Pedagogická fakulta / Univerzita Palackého v Olomouci;;;;04qxnmv42
upol.pedagogicka_fakulta_4.katedra_primarni_a_preprimarni_pedagogiky;orjk:15410:0001;Katedra primární a preprimární pedagogiky / Pedagogická fakulta / Univerzita Palackého v Olomouci;;;;orjk:15410
usi;03c4atk17;Università della Svizzera italiana;;0;;
uw;039bjqg32;Uniwersytet Warszawski;;0;;
vinci;ext:2;Da Vinci Laboratory Solutions UK & Ireland;;;;
vsb;05x8mcb75;Vysoká škola báňská - Technická univerzita Ostrava;61989100;0;;
vsb.fakulta_materialove_technologicka;orjk:27360;Fakulta materiálově-technologická / Vysoká škola báňská - Technická univerzita Ostrava;;1;Vysoká škola báňská - Technická univerzita Ostrava / Fakulta materiálově- technologická;05x8mcb75
vscht;05ggn0a85;Vysoká škola chemicko-technologická v Praze;60461373;0;;
vscht.fakulta_chemicke_technologie;orjk:22310;Fakulta chemické technologie / Vysoká škola chemicko-technologická v Praze;;;;05ggn0a85
vscht.fakulta_chemicke_technologie.ustav_kovovych_materialu_a_korozniho_inzenyrstvi;orjk:22310:0001;Ústav kovových materiálů a korozního inženýrství / Fakulta chemické technologie / Vysoká škola chemicko-technologická v Praze;;;;orjk:22310
vssav;ext:3;Výpočtové středisko Slovenskej akadémie vied;;;;
vu;008xxew50;Vrije Universiteit Amsterdam;;0;;
vukoz;04gf11d56;Výzkumný ústav Silva Taroucy pro krajinu a okrasné zahradnictví;27073;0;;
vutbr;03613d656;Vysoké učení technické v Brně;216305;0;;
vutbr.ceitec_vysoke_uceni_technicke_v_brne;orjk:90041;CEITEC Vysoké učení technické v Brně / Vysoké učení technické v Brně;;;;03613d656
vutbr.fakulta_elektrotechniky_a_komunikacnich_technologii;orjk:26220;Fakulta elektrotechniky a komunikačních technologií / Vysoké učení technické v Brně;;;;03613d656
vutbr.fakulta_elektrotechniky_a_komunikacnich_technologii.ustav_biomedicinskeho_inzenyrstvi;orjk:26220:0001;Ústav biomedicínského inženýrství / Fakulta elektrotechniky a komunikačních technologií / Vysoké učení technické v Brně;;;;orjk:26220
vutbr.fakulta_strojniho_inzenyrstvi_1;orjk:26210;Fakulta strojního inženýrství / Vysoké učení technické v Brně;;1;Vysoké učení technické v Brně / Fakulta strojního inženýrství;03613d656
wigner;035dsb084;Wigner Research Centre for Physics;;0;;
xmu;00mcjh785;Xiamen University;;0;;
zcu;040t43x18;Západočeská univerzita v Plzni;49777513;0;;
zcu.fakulta_zdravotnickych_studii_3;orjk:23310;Fakulta zdravotnických studií / Západočeská univerzita v Plzni;;1;Západočeská univerzita v Plzni / Fakulta zdravotnických studií;040t43x18
zcu.fakulta_zdravotnickych_studii_3.katedra_osetrovatelstvi_a_porodni_asistence;orjk:23310:0001;Katedra ošetřovatelství a porodní asistence / Fakulta zdravotnických studií / Západočeská univerzita v Plzni;;;;orjk:23310
npu;019k25552;Národní památkový ústav;75032333;;;
