src_id,tgt_id,src_title,tgt_title
hun,HUN,"{'cs': 'maďarština', 'en': 'Hungarian'}","{'cs': 'maďarština', 'en': 'Hungarian'}"
arm,HYE,"{'cs': 'arménština', 'en': 'Armenian'}","{'cs': 'arménština', 'en': 'Armenian'}"
ibo,IBO,"{'cs': 'igboština', 'en': 'Igbo'}","{'cs': 'igboština', 'en': 'Igbo'}"
ido,IDO,"{'cs': 'ido', 'en': 'Ido'}","{'cs': 'Ido', 'en': 'Ido'}"
iii,III,"{'cs': 'iština (sečuánská)', 'en': 'Sichuan Yi'}","{'cs': 'Sichuan Yi', 'en': 'Sichuan Yi'}"
iku,IKU,"{'cs': 'inuktitutština', 'en': 'Inuktitut'}","{'cs': 'Inuktitut', 'en': 'Inuktitut'}"
ile,ILE,"{'cs': 'interlingue', 'en': 'Interlingue'}","{'cs': 'Interlingue', 'en': 'Interlingue'}"
ina,INA,"{'cs': 'interlingua', 'en': 'Interlingua'}","{'cs': 'interlingua', 'en': 'Interlingua'}"
ind,IND,"{'cs': 'indonéština', 'en': 'Indonesian'}","{'cs': 'indonéština', 'en': 'Indonesian'}"
ipk,IPK,"{'cs': 'inupiakština', 'en': 'Inupiaq'}","{'cs': 'Inupiaq', 'en': 'Inupiaq'}"
